# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
83 -0.1978166103363037 -0.30852010846138 2.7443041801452637 255 255 255 1.0 25 0 26 0
84 -0.19661830365657806 -0.3081528842449188 2.7444028854370117 255 255 255 1.0 25 0 26 0
85 -0.19532667100429535 -0.604701817035675 2.7622854709625244 255 255 255 1.0 25 0 26 0
86 -0.1899094581604004 -0.11374028772115707 2.7291171550750732 255 255 255 1.0 25 0 26 0
87 -0.19445328414440155 -0.5761106610298157 2.762770652770996 255 255 255 1.0 25 0 26 0
88 -0.18878625333309174 -0.06378349661827087 2.7271530628204346 255 255 255 1.0 25 0 26 0
89 -0.191806361079216 -0.5610190033912659 2.7672927379608154 255 255 255 1.0 25 0 26 0
90 -0.19161181151866913 -0.5301302671432495 2.7707526683807373 255 255 255 1.0 25 0 26 0
91 -0.1872389018535614 -0.32080841064453125 2.746046543121338 255 255 255 1.0 25 0 26 0
92 -0.18546797335147858 -0.1512007862329483 2.7346150875091553 255 255 255 1.0 25 0 26 0
93 -0.1839156448841095 -0.13714180886745453 2.733048677444458 255 255 255 1.0 25 0 26 0
94 -0.1789519190788269 -0.3043212890625 2.7535784244537354 255 255 255 1.0 25 0 26 0
95 -0.1789519190788269 -0.3043212890625 2.7535784244537354 255 255 255 1.0 25 0 26 0
96 -0.1758967936038971 -0.15587836503982544 2.73515248298645 255 255 255 1.0 25 0 26 0
97 -0.17614780366420746 -0.17302890121936798 2.740831136703491 255 255 255 1.0 25 0 26 0
98 -0.1784198135137558 -0.3694741725921631 2.7654850482940674 255 255 255 1.0 25 0 26 0
99 -0.17310723662376404 -0.06923219561576843 2.7275564670562744 255 255 255 1.0 25 0 26 0
100 -0.17581306397914886 -0.32005488872528076 2.7570302486419678 255 255 255 1.0 25 0 26 0
101 -0.1757659912109375 -0.640502393245697 2.7629010677337646 255 255 255 1.0 25 0 26 0
102 -0.1724943071603775 -0.2046910524368286 2.7490108013153076 255 255 255 1.0 25 0 26 0
103 -0.1722084879875183 -0.2503848671913147 2.7573721408843994 255 255 255 1.0 25 0 26 0
104 -0.1711999624967575 -0.20400282740592957 2.746220827102661 255 255 255 1.0 25 0 26 0
105 -0.17085924744606018 -0.186674565076828 2.742074966430664 255 255 255 1.0 25 0 26 0
106 -0.17398692667484283 -0.4196089804172516 2.788008689880371 255 255 255 1.0 25 0 26 0
107 -0.17053866386413574 -0.22861377894878387 2.752373456954956 255 255 255 1.0 25 0 26 0
108 -0.17053866386413574 -0.22861377894878387 2.752373456954956 255 255 255 1.0 25 0 26 0
109 -0.1673027127981186 -0.2987438440322876 2.7596020698547363 255 255 255 1.0 25 0 26 0
110 -0.15854178369045258 -0.16442622244358063 2.739495038986206 255 255 255 1.0 25 0 26 0
111 -0.16148483753204346 -0.6394841074943542 2.7613139152526855 255 255 255 1.0 25 0 26 0
112 -0.15522301197052002 0.0573916956782341 2.7241592407226562 255 255 255 1.0 25 0 26 0
113 -0.15009631216526031 -0.19441689550876617 2.746413230895996 255 255 255 1.0 25 0 26 0
114 -0.15139459073543549 -0.5922378301620483 2.7701127529144287 255 255 255 1.0 25 0 26 0
115 -0.15072597563266754 -0.6083670258522034 2.767441749572754 255 255 255 1.0 25 0 26 0
116 -0.1445939540863037 0.06636666506528854 2.7170774936676025 255 255 255 1.0 25 0 26 0
117 -0.14998313784599304 -0.5642666220664978 2.7759900093078613 255 255 255 1.0 25 0 26 0
118 -0.14998313784599304 -0.5642666220664978 2.7759900093078613 255 255 255 1.0 25 0 26 0
119 -0.14763106405735016 -0.517570972442627 2.785820484161377 255 255 255 1.0 25 0 26 0
120 -0.1403888761997223 0.03164058178663254 2.720745325088501 255 255 255 1.0 25 0 26 0
121 -0.14083106815814972 -0.10638172924518585 2.7328402996063232 255 255 255 1.0 25 0 26 0
122 -0.14150269329547882 -0.19341446459293365 2.7467026710510254 255 255 255 1.0 25 0 26 0
123 -0.14150269329547882 -0.19341446459293365 2.7467026710510254 255 255 255 1.0 25 0 26 0
124 -0.13655897974967957 -0.12685710191726685 2.7358572483062744 255 255 255 1.0 25 0 26 0
125 -0.13740791380405426 -0.24162161350250244 2.763690948486328 255 255 255 1.0 25 0 26 0
126 -0.1362810879945755 -0.18381831049919128 2.7462947368621826 255 255 255 1.0 25 0 26 0
127 -0.1362810879945755 -0.18381831049919128 2.7462947368621826 255 255 255 1.0 25 0 26 0
128 -0.1362682729959488 -0.25464048981666565 2.765795946121216 255 255 255 1.0 25 0 26 0
129 -0.13342639803886414 -0.1413794308900833 2.7372660636901855 255 255 255 1.0 25 0 26 0
130 -0.1237286701798439 0.10998107492923737 2.7053306102752686 255 255 255 1.0 25 0 26 0
